ID,rok,idd,pos,idd,pau,sum,vec,va,addtrans
1,1408,14,0,1,0,600,0,0,0
2,1417,14,0,1,0,400,0,0,2
3,1385,12,0,1,0,600,0,0,0
4,1349,?,?,2,0,,0,0,0
5,1390,32,0,3,0,1000,0,0,0
6,1406,15,0,3,0,800,1,0,0
13,1374,50,2,3,0,70,0,0,0
15,1407,15,0,3,0,,1,0,0
17,1364,?,?,5,0,,0,0,0
19,1364,?,?,7,0,500,0,0,0
20,1398,27,0,10,0,250,0,0,0
21,1399,27,0,10,0,,0,0,1
23,1390,?,?,10,0,,0,0,0
24,1390,?,?,10,0,,0,0,1
25,1360,?,?,10,0,600,0,0,0
26,1361,?,?,10,0,500,0,0,0
27,1371,?,?,10,0,150,0,0,0
28,1373,?,?,10,0,150,0,0,0
29,1381,?,?,10,0,250,0,0,0
30,1386,?,?,10,0,500,0,0,1
32,1417,15,0,10,0,600,0,0,0
33,1360,25,0,10,0,600,0,0,0
34,1391,14,0,10,0,,0,0,0
35,1391,?,?,10,0,250,0,0,0
36,1356,15,0,10,0,,0,0,0
38,1371,50,0,10,0,,0,0,0
39,1420,29,0,10,0,500,0,0,0
40,1390,29,0,10,0,600,0,0,0
42,1364,15,0,10,0,750,0,0,1
50,1371,28,0,12,0,500,0,1,2
51,1349,12,0,12,0,75,0,0,0
52,1381,50,0,12,0,,0,1,0
55,1407,14,0,12,0,400,0,1,0
57,1390,10,0,12,0,1000,0,0,0
59,1376,28,0,12,0,500,0,1,2
60,1360,23,0,12,0,450,0,0,0
61,1416,23,1,12,0,500,0,0,0
63,1359,28,0,12,0,500,0,0,0
64,1348,10,0,12,0,650,0,0,0
65,1374,15,0,28,0,500,0,1,0
69,1358,?,?,44,0,600,0,0,0
70,1373,?,?,14,0,500,0,0,0
72,1361,?,?,14,0,,0,0,0
73,1386,30,0,14,0,550,0,1,1
74,1398,10,0,14,0,125,0,0,1
75,1407,?,?,14,0,500,0,0,0
76,1390,10,0,14,0,600,0,0,0
77,1390,?,?,14,0,375,0,0,0
78,1398,50,2,14,0,375,1,0,0
79,1407,?,?,14,0,100,0,0,0
80,1374,?,?,14,0,1400,0,0,0
81,1379,?,?,14,0,,0,0,0
82,1390,50,0,14,0,750,0,0,0
83,1408,30,0,14,0,400,0,0,0
84,1379,?,?,14,0,,0,1,0
85,1390,50,2,14,0,750,0,0,2
86,1376,30,0,14,0,225,0,0,0
87,1379,30,0,14,0,440,0,0,1
88,1382,25,0,14,0,600,1,0,1
89,1420,34,0,14,0,250,0,0,0
90,1365,27,0,14,0,260,0,0,0
91,1371,25,0,14,0,122,1,0,0
92,1385,10,0,14,0,425,0,0,0
93,1398,38,0,14,0,250,0,0,0
94,1364,3,0,14,0,300,0,0,0
95,1385,30,0,14,0,250,0,1,0
96,1412,30,0,14,0,400,0,0,0
97,1377,30,0,14,0,,0,0,0
98,1382,30,0,14,0,,0,0,1
99,1398,30,0,14,0,,0,0,1
100,1418,50,0,14,0,1000,0,0,0
101,1377,?,?,14,0,750,0,0,0
102,1374,50,2,14,0,,0,0,0
103,1348,?,?,14,0,400,0,0,0
104,1364,28,0,14,0,500,0,0,0
105,1418,31,0,14,0,300,0,0,0
106,1412,38,0,14,0,125,0,0,0
107,1412,38,0,14,0,"62,5",0,0,0
108,1368,?,?,14,0,250,0,0,0
109,1348,?,?,14,0,300,0,0,0
111,1398,?,?,14,0,200,0,0,0
112,1404,3,0,15,0,600,0,0,0
113,1378,?,?,15,0,1000,0,0,0
116,1420,10,0,15,0,500,1,0,0
117,1406,49,0,15,0,400,0,0,2
118,1374,3,0,15,0,250,0,0,0
119,1371,?,?,15,0,50,0,0,0
121,1381,49,0,15,0,2400,0,0,0
122,1398,28,0,15,0,,0,0,0
123,1389,14,0,15,0,250,0,0,2
124,1397,23,0,15,0,600,0,0,0
129,1358,50,0,15,0,300,0,0,0
130,1398,?,?,15,0,200,0,0,0
131,1417,22,0,15,0,,0,1,?
132,1368,3,1,15,0,,0,0,0
133,1398,28,0,15,0,,0,0,0
134,1385,50,1,15,0,,0,0,0
135,1360,50,0,15,0,660,0,0,2
136,1412,10,0,15,0,200,0,0,0
137,1376,?,?,15,0,1000,0,0,0
138,1362,15,0,17,0,,0,0,0
144,1365,?,?,23,0,250,0,0,0
145,1415,23,1,23,0,,0,0,0
146,1412,3,1,23,0,330,0,0,0
147,1374,15,1,23,0,600,0,0,0
148,1377,15,1,23,0,650,0,0,0
150,1399,15,1,23,0,800,0,0,0
156,1374,50,0,23,0,750,0,0,0
157,1358,1,0,23,0,500,0,0,0
158,1373,?,?,23,0,750,1,0,0
161,1409,?,?,23,0,250,0,0,0
165,1355,29,0,23,0,1000,0,0,0
166,1417,15,0,26,0,700,0,0,0
168,1353,31,0,27,0,500,0,0,0
169,1355,?,?,27,0,150,0,0,0
170,1371,?,?,27,0,500,0,0,0
171,1365,50,2,27,0,375,0,0,0
172,1417,12,0,27,0,,0,1,0
173,1358,10,0,27,0,500,0,0,0
174,1360,10,0,27,0,375,0,0,2
176,1369,23,0,27,0,374,0,0,0
177,1408,50,2,27,0,,0,0,0
178,1385,?,?,28,0,300,0,0,0
179,1396,26,0,28,0,575,0,0,0
180,1349,?,?,28,0,300,0,0,0
181,1384,15,0,28,0,500,0,1,2
182,1397,19,1,28,0,300,0,0,0
183,1412,19,1,28,0,500,0,0,1
185,1406,26,0,28,0,500,0,0,2
187,1408,50,2,28,0,,0,0,0
188,1365,23,0,29,0,800,0,0,0
189,1371,23,0,29,0,800,0,0,2
190,1379,23,0,29,0,200,0,0,1
191,1386,23,0,29,0,950,0,0,2
192,1386,23,0,29,0,,0,0,1
193,1412,25,0,29,0,,0,0,0
195,1368,50,2,30,0,500,0,0,0
196,1416,?,?,30,0,,0,0,0
197,1365,?,?,31,0,,0,0,0
198,1398,?,?,31,0,250,0,0,0
199,1408,34,0,31,0,150,0,0,0
202,1416,34,0,31,0,,0,0,0
204,1401,26,0,31,0,1000,0,0,0
205,1358,29,0,32,0,500,0,0,0
206,1364,?,?,32,0,1000,1,0,0
211,1371,?,?,34,0,500,0,0,0
212,1385,50,2,34,0,600,1,0,0
213,1406,50,2,34,0,,0,0,0
214,1407,50,2,34,0,,1,0,1
215,1415,50,2,34,0,200,0,0,0
216,1371,?,?,34,0,500,0,0,0
217,1379,30,0,34,0,500,0,0,0
218,1368,50,1,34,0,250,0,0,2
219,1376,25,0,34,0,600,1,0,0
220,1377,?,?,34,0,175,0,0,0
221,1420,?,?,34,0,80,0,0,0
225,1418,50,2,38,0,800,0,0,0
226,1368,?,?,38,0,,0,0,0
227,1398,14,0,38,0,,1,0,2
228,1412,?,?,38,0,1000,0,0,0
229,1417,44,0,38,0,500,1,0,1
230,1420,44,0,38,0,,1,0,1
231,1416,44,0,38,0,300,1,0,0
232,1373,14,0,38,0,125,1,0,0
233,1417,23,1,38,0,300,1,0,0
234,1389,14,0,38,0,330,1,0,2
235,1416,30,0,38,0,,0,1,0
236,1358,50,2,34,0,250,0,0,0
237,1408,3,0,40,0,1000,0,0,0
238,1415,22,1,44,0,800,0,0,0
239,1415,3,0,44,0,500,0,0,0
242,1349,28,0,50,0,300,0,0,0
246,1373,10,1,50,0,,0,0,0
247,1358,?,?,50,0,300,0,0,0
248,1353,27,0,27,0,350,0,0,0
249,1420,38,0,50,0,,1,0,0
251,1365,27,0,?,0,,0,0,0
252,1351,28,0,30,0,500,0,0,0
253,1353,38,0,?,0,,0,0,0
254,1349,27,0,?,0,400,0,0,0
255,1365,30,0,10,0,500,0,0,0
258,1417,26,0,23,0,,0,0,0
259,1355,14,0,14,0,440,0,0,0
260,1384,14,0,38,0,150,1,0,2
263,1398,15,0,15,0,,0,0,0
265,1390,?,?,?,0,240,0,0,0
270,1376,50,2,30,0,500,0,0,0
271,1379,50,2,30,0,500,0,0,0
274,1349,10,1,14,0,190,0,0,0
278,1413,10,0,44,0,600,0,1,0
7,1369,?,?,3,1,250,0,0,0
8,1378,12,0,3,1,250,0,0,0
9,1365,?,?,3,1,450,0,0,0
10,1366,?,?,3,1,450,0,0,2
11,1381,5,1,3,1,250,0,0,0
12,1383,5,1,3,1,250,0,0,2
18,1366,?,?,6,1,150,0,0,0
22,1358,?,?,10,1,,0,0,0
37,1361,10,1,10,1,80,0,0,0
41,1371,?,?,10,1,150,0,0,0
43,1353,?,?,10,1,50,0,0,0
44,1390,50,2,10,1,100,0,0,0
45,1416,50,2,10,1,10,0,0,1
46,1364,?,?,10,1,200,0,0,0
47,1373,50,2,10,1,75,1,0,0
48,1381,50,2,10,1,75,1,0,0
49,1390,50,2,10,1,200,0,0,2
66,1353,50,2,13,1,320,0,0,0
67,1358,50,2,13,1,180,0,0,0
68,1358,50,2,13,1,250,0,0,0
126,1417,22,0,15,1,,0,1,?
139,1368,?,?,19,1,200,1,0,0
140,1368,50,2,19,1,60,0,0,0
141,1374,50,2,19,1,150,0,0,0
143,1412,?,?,22,1,50,0,0,0
151,1365,?,?,23,1,80,0,0,0
152,1406,28,0,23,1,500,0,0,0
159,1415,50,0,23,1,1000,0,0,0
160,1416,50,0,23,1,,0,0,1
162,1397,10,1,23,1,200,0,0,1
163,1397,10,1,23,1,300,0,0,0
164,1420,12,0,23,1,1000,0,0,0
200,1390,31,1,31,1,50,0,0,0
201,1406,31,1,31,1,,0,0,0
203,1366,?,?,31,1,,0,0,0
207,1408,?,?,33,1,150,0,0,0
208,1418,14,1,33,1,75,0,0,0
209,1359,23,0,33,1,250,0,0,0
210,1373,50,2,33,1,300,0,0,0
222,1355,31,0,35,1,300,0,0,0
223,1359,31,0,35,1,300,0,0,2
240,1385,30,0,50,1,240,0,0,0
241,1369,14,0,50,1,350,0,0,0
243,1373,?,?,50,1,125,0,0,0
244,1358,12,0,50,1,375,0,0,0
245,1376,28,0,50,1,,0,1,0
250,1418,23,1,50,1,,1,0,0
256,1350,40,0,10,1,350,0,0,0
269,1389,3,0,50,1,250,0,0,0
273,1358,30,0,30,1,250,0,0,0
275,1390,28,0,50,1,150,0,0,0
277,1410,31,0,50,1,250,0,0,0